ordernumber;image;main;description;position;width;height;relations
G10046;http://shopware.p562114.webspaceconfig.de/media/image/49/19/b9/aminorosolzlocistyxxxaeTG4Wk4KaOAQ.jpg;1;;1;0;0;
G10048;http://shopware.p562114.webspaceconfig.de/media/image/9e/41/49/aminokarton-5.jpg;1;;1;0;0;
G10054;http://shopware.p562114.webspaceconfig.de/media/image/5e/54/f5/aminopierczarkowaxxxNf1zCsznYQhqV.jpg;1;;1;0;0;
G10067;http://shopware.p562114.webspaceconfig.de/media/image/77/e7/04/apfeldelikates65-75mm_ico.png;1;;1;0;0;
G10064;http://shopware.p562114.webspaceconfig.de/media/image/c6/f7/1c/apfelcelesta65_ico.png;1;;1;0;0;
G10065;http://shopware.p562114.webspaceconfig.de/media/image/6b/02/6f/apfelcelesta65_z1.png;1;;1;0;0;
G10066;http://shopware.p562114.webspaceconfig.de/media/image/28/44/41/apfeldelikates65-75mm_z1.png;1;;1;0;0;
G10068;http://shopware.p562114.webspaceconfig.de/media/image/69/d8/06/apfelzenewa_icoYEzyIQtSC8M3s.png;1;;1;0;0;
G10069;http://shopware.p562114.webspaceconfig.de/media/image/d7/61/43/apfelneueee_z1.png;1;;1;0;0;
G10075;http://shopware.p562114.webspaceconfig.de/media/image/3b/a0/b9/apfeljuliared_z1.png;1;;1;0;0;
G10070;http://shopware.p562114.webspaceconfig.de/media/image/5b/22/1f/apfelred_z1.png;1;;1;0;0;
G10072;http://shopware.p562114.webspaceconfig.de/media/image/79/2a/61/apfeljuliared_z1rFnRpVEIMyXwS.png;1;;1;0;0;
G10073;http://shopware.p562114.webspaceconfig.de/media/image/11/89/23/apfelpiros_z1.png;1;;1;0;0;
G10074;http://shopware.p562114.webspaceconfig.de/media/image/b1/c3/46/apfelneueee_z10OIf7akGvJXGq.png;1;;1;0;0;
G10076;http://shopware.p562114.webspaceconfig.de/media/image/6f/ef/30/ARO-Folia-Stretch.jpg;1;;1;0;0;
G10082;http://shopware.p562114.webspaceconfig.de/media/image/21/51/3f/Babuni-Makaroni.jpg;1;;1;0;0;
G10057;http://shopware.p562114.webspaceconfig.de/media/image/78/0c/73/aminorosolpikantnyxxxB2IRRoTQIjItw.jpg;1;;1;0;0;
G10056;http://shopware.p562114.webspaceconfig.de/media/image/f4/88/7c/Amino-Suppen-Rosol-z-kuru.jpg;1;;1;0;0;
G10139;http://shopware.p562114.webspaceconfig.de/media/image/6a/5a/99/bonduellekukurydza170g_z1.png;1;;1;0;0;
G10081;http://shopware.p562114.webspaceconfig.de/media/image/83/7b/35/artur-krakersy-mix-solone.png;1;;1;0;0;
G10132;http://shopware.p562114.webspaceconfig.de/media/image/00/bd/88/Boczek-Wedzara.jpg;1;;1;0;0;
G10151;http://shopware.p562114.webspaceconfig.de/media/image/a8/df/67/Boczek-Paski.png;1;;1;0;0;
G10150;http://shopware.p562114.webspaceconfig.de/media/image/74/ea/3c/Bozek-Parzony.png;1;;1;0;0;
G10149;http://shopware.p562114.webspaceconfig.de/media/image/a8/df/67/Boczek-Paski.png;1;;1;0;0;
G10145;http://shopware.p562114.webspaceconfig.de/media/image/c2/dd/95/Boczek-Goralski.jpg;1;;1;0;0;
G10146;http://shopware.p562114.webspaceconfig.de/media/image/c2/dd/95/Boczek-Goralski.jpg;1;;1;0;0;
G10147;http://shopware.p562114.webspaceconfig.de/media/image/c2/dd/95/Boczek-Goralski.jpg;1;;1;0;0;
G10140;http://shopware.p562114.webspaceconfig.de/media/image/56/dc/9b/Bonduelle-Meis-425ml-340-gr-x-6-st.png;1;;1;0;0;
G10137;http://shopware.p562114.webspaceconfig.de/media/image/c8/56/18/Bonduelle-Groszek.jpg;1;;1;0;0;
G10141;http://shopware.p562114.webspaceconfig.de/media/image/ca/e3/51/Borowik-Suszony-40g.jpg;1;;1;0;0;
G10142;http://shopware.p562114.webspaceconfig.de/media/image/07/ea/60/Borowik-Suszony-40gmm6bIDn27Pybq.jpg;1;;1;0;0;
G10123;http://shopware.p562114.webspaceconfig.de/media/image/a7/63/58/winiary-Bita-Smietana-25st-x-50g.jpg;1;;1;0;0;
G10497;http://shopware.p562114.webspaceconfig.de/media/image/0a/97/02/gellwe-karpatka.jpg;1;;1;0;0;
