ordernumber;mainnumber;name;additionalText;supplier;tax;price_EK;pseudoprice_EK;baseprice_EK;from_EK;to_EK;price_H;pseudoprice_H;baseprice_H;from_H;to_H;active;instock;stockmin;description;description_long;shippingtime;added;changed;releasedate;shippingfree;topseller;keywords;minpurchase;purchasesteps;maxpurchase;purchaseunit;referenceunit;packunit;unitID;pricegroupID;pricegroupActive;laststock;suppliernumber;weight;width;height;length;ean;similar;configuratorsetID;configuratortype;configuratorOptions;categories;metatitle
G10243;G10243;Dobosz Lesne Michasie 380g x 14St.;;Eigenmarke;5,00;25,06;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;14,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;56;
G10244;G10244;Dobosz Lesne Michaski Stabilo 300g x 10St.;;Eigenmarke;5,00;14,9;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;10,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;56;
G10245;G10245;Dobosz Mieszanka firmowa 380g x 16St.;;Eigenmarke;5,00;28,64;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;16,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;56;
G10246;G10246;Dobosz Mix Pralinen 280g x 16Stk.;;Eigenmarke;5,00;23,84;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;16,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;56;
G10247;G10247;Dobosz Mleczko 5 kg kiste Luï¿½se 1 kg  2,99uï¿½;;Eigenmarke;5,00;2,49;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;;;;;;0;0;;0,000;;;;;;;;;56;
G10248;G10248;Dobosz Mleczko w czekoladzie 380g x 14St.;;Eigenmarke;5,00;25,06;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;14,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;56;
G10249;G10249;Dobosz Morela w czekoladzie 380g x 16St.;;Eigenmarke;5,00;28,64;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;16,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;56;
G10250;G10250;Dobosz Orechy ziemne w czekoladzie 25St. x 270gr.;;Eigenmarke;5,00;44,75;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;25,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;56;
G10251;G10251;Dobosz Pralina w czekoladzie adwokat 280g x 14St.;;Eigenmarke;5,00;18,62;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;14,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;56;
G10252;G10252;Dobosz Pralina w czekoladzie cappuccino 280g x 16St.;;Eigenmarke;5,00;23,84;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;16,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;56;
G10253;G10253;Dobosz Pralina w czekoladzie orzech 280g x 16St.;;Eigenmarke;5,00;21,28;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;16,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;56;
G10254;G10254;Dobosz Pralina w czekoladzie rum 280g x 16St.;;Eigenmarke;5,00;21,28;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;16,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;56;
G10255;G10255;Dobosz Pralina w czekoladzie wisnia 280g x 16St.;;Eigenmarke;5,00;21,28;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;16,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;56;
G10256;G10256;Dobosz Pralinen 280g x 16Stk.;;Eigenmarke;5,00;23,84;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;16,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;56;
G10257;G10257;Dobosz Sliwka Kalifornijska 380g x 16St.;;Eigenmarke;5,00;28,64;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;16,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;56;
G10258;G10258;Dobosz Sliwka luxusowa 200g x 15stk;;Eigenmarke;5,00;25,35;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;15,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;56;
G10259;G10259;Dobosz Sliwka StabiloLux w czekoladzie  300g x 10St.;;Eigenmarke;5,00;21,9;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;10,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;56;
G10260;G10260;Dobosz Sliwka w czekoladzie 380g x 16St.;;Eigenmarke;5,00;28,64;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;16,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;56;
G10261;G10261;Dobosz Sugusy Mix 200g x 15stk;;Eigenmarke;5,00;13,35;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;15,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;56;
G10262;G10262;Dobosz Sugusy mix 400g x 16St.;;Eigenmarke;5,00;17,44;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;16,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;56;
G10263;G10263;Dobosz Toffi mix 400g x 16St.;;Eigenmarke;5,00;17,44;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;16,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;56;
G10264;G10264;Dobosz Trufla Lux 380g x 14St.;;Eigenmarke;5,00;25,06;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;14,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;56;
G10265;G10265;Dobosz Trufla nadziewana 380g x 16St.;;Eigenmarke;5,00;28,64;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;16,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;56;
G10266;G10266;Dobosz Trufla Nadziewana Stabilo 300g x 10St.;;Eigenmarke;5,00;15,9;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;10,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;56;
G10267;G10267;Dobosz Trufla w czekoladzie 380g x 16St.;;Eigenmarke;5,00;28,64;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;16,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;56;
G10268;G10268;Dobosz Vanille Pralinen 280g x 16Stk.;;Eigenmarke;5,00;23,84;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;16,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;56;
G10269;G10269;Dobosz Vogelmilch  200g x 15St.;;Eigenmarke;5,00;14,85;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;15,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;56;
G10270;G10270;Dobosz Vogelmilch 200g x 20St.  Malina;;Eigenmarke;5,00;23,8;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;20,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;56;
G10271;G10271;Dobosz Vogelmilch  240g x 20St. Capucino;;Eigenmarke;5,00;19,8;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;20,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;56;
G10272;G10272;Dobosz Vogelmilch  240g x 20St. Truskawka;;Eigenmarke;5,00;19,8;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;20,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;56;
G10273;G10273;Dobosz Wisniowe w czekoladzie 380g x 16St.;;Eigenmarke;5,00;28,64;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;16,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;56;
G10274;G10274;Dobosz Wisniowe w czekoladzie Stabilo 300g x 10St.;;Eigenmarke;5,00;15,9;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;10,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;56;
G10275;G10275;Dobra Wurst;;Eigenmarke;5,00;3,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;1,0000;1,000;kg;9;;0;0;;0,000;;;;;;;;;38;
G10276;G10276;Dobropolska Wurst JBB;;Eigenmarke;5,00;5,79;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;1,0000;1,000;kg;9;;0;0;;0,000;;;;;;;;;38;
G10277;G10277;DOS FILET Sledzowy w Pomidorach 170 gr x  15 st;;Eigenmarke;5,00;13,35;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;15,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;42;
G10278;G10278;DOS SZPROT Popularny 330 ml x 16 st;;Eigenmarke;5,00;14,24;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;16,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;42;
G10279;G10279;Dr.Gerard Deserowe Kruche Kekse (RING)  200g x 12stk;;Eigenmarke;5,00;10,68;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;12,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;58;
G10280;G10280;Dr.Gerard Gabaretki Kokosowe 230gx12st;;Eigenmarke;5,00;13,08;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;12,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;58;
G10281;G10281;Dr.Gerard  Juppi 205 x 8 st;;Eigenmarke;5,00;8,72;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;8,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;58;
G10282;G10282;Dr Gerard Kruche ciastka o smaku pomaranczowym z gozdzikiem 174g x 12St.;;Eigenmarke;5,00;10,68;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;12,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;58;
G10283;G10283;Dr.Gerard Kruche Kakao-Sahnekekse 170g x 14stk;;Eigenmarke;5,00;12,46;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;14,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;58;
G10284;G10284;Dr.Gerard Kruche kokosowe 300g x 12stk;;Eigenmarke;5,00;16,68;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;12,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;58;
G10285;G10285;Dr, Gerard Mafijne  Choko 8stk x 330g;;Eigenmarke;5,00;7,92;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;8,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;58;
G10286;G10286;Dr.Gerard Mafijne DUO 8St. x216g;;Eigenmarke;5,00;7,92;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;8,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;58;
G10287;G10287;Dr.Gerard Mafijne Smietankowo/Cytrnowe 8St. x 216g;;Eigenmarke;5,00;7,92;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;8,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;58;
G10288;G10288;Dr.Gerard Pasja ciastka Advocat 170 x 12st.;;Eigenmarke;5,00;15,48;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;12,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;58;
G10289;G10289;Dr.Gerard Pasja ciastka Wisniowe Smietankowe 150g x 12St.;;Eigenmarke;5,00;11,88;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;12,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;58;
G10290;G10290;Dr Gerard Piernizcki z jablkiem i cynamonem 200g x 10St.;;Eigenmarke;5,00;9,9;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;10,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;58;
G10291;G10291;Dr Gerard Rurki cynamonowe z kremem jablkowym 160g x 24St.;;Eigenmarke;5,00;23,76;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;24,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;58;
G10292;G10292;Dr Gerard Rurki cynamonowe z kremem krem 160g x 30St.;;Eigenmarke;5,00;26,7;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;30,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;58;
G10293;G10293;Drobjowa Grilowa Wurst;;Eigenmarke;5,00;3,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;1,0000;1,000;kg;9;;0;0;;0,000;;;;;;;;;38;
G10294;G10294;DROBJOWA z Fileta Wurst;;Eigenmarke;5,00;6,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;1,0000;1,000;kg;9;;0;0;;0,000;;;;;;;;;38;
G10295;G10295;Dr.Oetker Biszkopt 400g x 8stk;;Eigenmarke;5,00;11,12;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;8,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;24;
G10296;G10296;Dr.Oetker Galaretka o smak Agresowa 77gr x 20 st;;Eigenmarke;5,00;7,8;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;20,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;24;
G10297;G10297;Dr.Oetker Galaretka o smak Cytryna 20stk x 77g;;Eigenmarke;5,00;7,8;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;20,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;24;
G10298;G10298;Dr.Oetker Galaretka o smak Maloinowym 30stk x 77g;;Eigenmarke;5,00;11,7;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;30,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;24;
G10299;G10299;Dr.Oetker Galaretka o smak Owocow lesnych 20stk x 77g;;Eigenmarke;5,00;7,8;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;20,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;24;
G10300;G10300;Dr.Oetker Galaretka o smak pomaranczowym 20stk x 77g;;Eigenmarke;5,00;7,8;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;20,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;24;
G10301;G10301;Dr.Oetker Galaretka o smak Poziomkowy  20stk x 77g;;Eigenmarke;5,00;7,8;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;20,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;24;
G10302;G10302;Dr.Oetker Galaretka o smakTruskawkowym 30stk;;Eigenmarke;5,00;11,7;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;30,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;24;
G10303;G10303;Dr.Oetker Galaretka o smaku bananowym 20stk x 77g;;Eigenmarke;5,00;7,8;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;20,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;24;
G10304;G10304;Dr.Oetker Galaretka o smaku Brzoskwiniowym 20stk x 77g;;Eigenmarke;5,00;7,8;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;20,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;24;
G10305;G10305;Dr.Oetker Galaretka o smaku kiwi 20stk x 77g;;Eigenmarke;5,00;7,8;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;20,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;24;
G10306;G10306;Dr.Oetker Galaretka o smaku Winogronowym 20stk x 77g;;Eigenmarke;16,00;7,8;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;20,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;24;
G10307;G10307;Dr.Oetker Galaretka o smak Wischnjowym 20stk x 77gr;;Eigenmarke;5,00;7,8;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;20,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;24;
G10308;G10308;"Drosed"" Geflï¿½gel Bockwurst""";;Eigenmarke;5,00;2,49;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;;;;;;0;0;;0,000;;;;;;;;;38;
G10309;G10309;Drosed Geflï¿½gelkoteletts 480g;;Eigenmarke;5,00;1,59;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;;;;;;0;0;;0,000;;;;;;;;;38;
G10310;G10310;DROSED Gefluï¿½gelpastete 130g x 12St;;Eigenmarke;5,00;0,36;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;;;;;;0;0;;0,000;;;;;;;;;39;
G10311;G10311;DROSED Gefluï¿½gelpastete 130g x 12St;;Eigenmarke;5,00;0,36;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;;;;;;0;0;;0,000;;;;;;;;;39;
G10312;G10312;DROSED Podlaski Tomate Gefluï¿½gelpastete 130g x 12St;;Eigenmarke;5,00;0,36;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;;;;;;0;0;;0,000;;;;;;;;;39;
G10313;G10313;DROSED Gefluï¿½gelpastete mit Paprika 130g x 12St;;Eigenmarke;5,00;0,36;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;;;;;;0;0;;0,000;;;;;;;;;39;
G10314;G10314;DROSED Podlaski Pasztet Drobiowy 195g x 12St.;;Eigenmarke;5,00;0,59;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;;;;;;0;0;;0,000;;;;;;;;;39;
G10315;G10315;DROSED Podlaski Pasztet z Kurczat 155g x 12St;;Eigenmarke;5,00;0,49;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;;;;;;0;0;;0,000;;;;;;;;;39;
G10316;G10316;DROS ogorki kwaszone 900ml x8 stk;;Eigenmarke;5,00;11,92;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;8,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;39;
G10317;G10317;DROS Ogurki  Kartuskie 900ml x 8 stk;;Eigenmarke;5,00;11,92;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;8,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;39;
G10318;G10318;Drozdze Josefow 7 gr x 60 st;;Eigenmarke;5,00;29,4;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;60,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;24;
G10319;G10319;Druck Din A3 4 seiter  1x10000st 90 gr 4/4-Farbich;;Eigenmarke;16,00;450;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;;;;;;0;0;;0,000;;;;;;;;;23;
G10320;G10320;Duda Jalowczowa Wurst;;Eigenmarke;5,00;7,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;1,0000;1,000;kg;9;;0;0;;0,000;;;;;;;;;38;
G10321;G10321;Duda Kabanosiki Dlinije 100 gr;;Eigenmarke;5,00;23,84;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;16,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;38;
G10322;G10322;Duda Krakowska wolowa;;Eigenmarke;5,00;7,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;1,0000;1,000;kg;9;;0;0;;0,000;;;;;;;;;38;
G10323;G10323;DZIADKA z Szynki Max Kielbaski;;Eigenmarke;5,00;5,49;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;1,0000;1,000;kg;9;;0;0;;0,000;;;;;;;;;38;
G10324;G10324;EDMAL Essig 500ml x 12St;;Eigenmarke;5,00;5,88;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;12,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;50;
G10325;G10325;Egzotyczny ogrod galaretki z sokiem owocowym 250g x 20St.;;Eigenmarke;5,00;13;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;20,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;24;
G10326;G10326;Eier aus Bodenhaltung Klasse A 10Stk x 18;;Eigenmarke;5,00;21,42;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;18,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;37;
G10327;G10327;Eiertomaten Poland 6 kg;;Eigenmarke;5,00;4,14;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;6,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;22;
G10328;G10328;Eimer 10 litr;;Eigenmarke;16,00;15,9;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;10,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;23;
G10329;G10329;Einlegedill;;Eigenmarke;5,00;7,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;;;;;;0;0;;0,000;;;;;;;;;29;
G10330;G10330;Einlege DILL 10st Bund;;Eigenmarke;5,00;79,9;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;10,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;29;
G10331;G10331;Einlegegurken 10 kg kiste;;Eigenmarke;5,00;14,9;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;10,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;22;
G10332;G10332;Einlegegurken Frisch kg 10 kg Sack;;Eigenmarke;5,00;1,29;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;;;;;;0;0;;0,000;;;;;;;;;22;
G10333;G10333;Ek Mak Krajanka 01 250g x 28Stk.;;Eigenmarke;5,00;13,72;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;28,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;66;
G10334;G10334;Ek Mak Krajanka 02 250g x 28Stk.;;Eigenmarke;5,00;15,4;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;28,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;66;
G10335;G10335;Ek Mak Makaron Muszelka 400g x 12Stk;;Eigenmarke;5,00;5,88;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;12,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;66;
