ordernumber;mainnumber;name;additionalText;supplier;tax;price_EK;pseudoprice_EK;baseprice_EK;from_EK;to_EK;price_H;pseudoprice_H;baseprice_H;from_H;to_H;active;instock;stockmin;description;description_long;shippingtime;added;changed;releasedate;shippingfree;topseller;keywords;minpurchase;purchasesteps;maxpurchase;purchaseunit;referenceunit;packunit;unitID;pricegroupID;pricegroupActive;laststock;suppliernumber;weight;width;height;length;ean;similar;configuratorsetID;configuratortype;configuratorOptions;categories;metatitle
G10020;G10020;Alex-Pol Krokety z mjasem 450grx 8st;;Alex-Pol;5,00;14,32;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;8,0000;1,000;KTN;9;;0;0;;0,000;;;;5900232750825;;;;;17;
G10021;G10021;Alex-Pol Pirogi z Grybami Lesnymi 450g x 8 st.;;Alex-Pol;5,00;15,12;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;8,0000;1,000;KTN;9;;0;0;;0,000;;;;5900232750870;;;;;17;
G10022;G10022;Alex-Pol Pirogi z Jagodami 450g x 8 st.;;Alex-Pol;5,00;15,92;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;8,0000;1,000;KTN;9;;0;0;;0,000;;;;5900232750474;;;;;17;
G10023;G10023;Alex-Pol Pirogi z Kapusta i Grybami 450g x 8 st.;;Alex-Pol;5,00;12,72;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;8,0000;1,000;KTN;9;;0;0;;0,000;;;;5900232750382;;;;;17;
G10024;G10024;Alex-Pol Pirogi z Kapusta i miesem 450g x 8 st.;;Alex-Pol;5,00;12,72;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;8,0000;1,000;KTN;9;;0;0;;0,000;;;;5900232750375;;;;;17;
G10025;G10025;Alex-Pol Pirogi z miesem 450g x 8 st.;;Alex-Pol;5,00;13,52;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;8,0000;1,000;KTN;9;;0;0;;0,000;;;;5900232750337;;;;;17;
G10026;G10026;Alex-Pol Pirogi z Serem 450g x 8 st.;;Alex-Pol;5,00;12,72;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;8,0000;1,000;KTN;9;;0;0;;0,000;;;;5900232750320;;;;;17;
G10027;G10027;Alex-Pol Pirogi z Serem i Truskawka  450g x 8 st.;;Alex-Pol;5,00;12,72;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;8,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;17;
G10028;G10028;Alex-Pol Pirogi z Spinatem i Serem 450g x 8 st.;;Alex-Pol;5,00;12,72;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;8,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;17;
G10029;G10029;Alex-Pol Pirogi z Truskawkami 450g x 8 st.;;Alex-Pol;5,00;12,72;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;8,0000;1,000;KTN;9;;0;0;;0,000;;;;5900232750450;;;;;17;
