ordernumber;mainnumber;name;additionalText;supplier;tax;price_EK;pseudoprice_EK;baseprice_EK;from_EK;to_EK;price_H;pseudoprice_H;baseprice_H;from_H;to_H;active;instock;stockmin;description;description_long;shippingtime;added;changed;releasedate;shippingfree;topseller;keywords;minpurchase;purchasesteps;maxpurchase;purchaseunit;referenceunit;packunit;unitID;pricegroupID;pricegroupActive;laststock;suppliernumber;weight;width;height;length;ean;similar;configuratorsetID;configuratortype;configuratorOptions;categories;propertyGroupName;propertyValueName;accessory;imageUrl;main;attr1;attr2;attr3;purchasePrice;metatitle;;;;;;;;;;;
G10959;G10959;Lipton ( 100st x 2gr ) 10 st kart;;Eigenmarke;5;2,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;10;10;500;1;10;St;4;;0;0;;0;;;;;;;;;64;;;;;;;;;;;;;;;;;;10;14,9;;0
G10960;G10960;Lipton Herbata czar. Lemon 34g(20Beut.) x 12St.;;Eigenmarke;5;1,29;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;64;;;;;;;;;;;;;;;;;;10;14,9;;0
G10961;G10961;Lipton Herbata czar. Marakuja/Malina 32g(20Beut.) x 12St.;;Eigenmarke;5;1,29;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;64;;;;;;;;;;;;;;;;;;10;14,9;;0
G10962;G10962;Lipton Herbata czarna 2g x 25Beut. x 32St.;;Eigenmarke;5;1,19;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;32;32;500;1;32;St;4;;0;0;;0;;;;;;;;;64;;;;;;;;;;;;;;;;;;10;14,9;;0
G10963;G10963;Lipton Herbata czarna 2g x 50Beut. x 16St.;;Eigenmarke;5;1,89;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;16;16;500;1;16;St;4;;0;0;;0;;;;;;;;;64;;;;;;;;;;;;;;;;;;10;14,9;;0
G10964;G10964;Lipton Herbata czar. Owoce lesne 34g(20Beut.) x 12St.;;Eigenmarke;5;1,29;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;64;;;;;;;;;;;;;;;;;;27;6,75;;0
G10965;G10965;Lipton Herbata czar. Peach/Mango 36g(20Beut.) x 12St.;;Eigenmarke;5;1,29;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;64;;;;;;;;;;;;;;;;;;24;6;;0
G10966;G10966;Lipton Herbata White Tea Pomegranate 30g (20Beut.) x12 St;;Eigenmarke;5;1,29;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;64;;;;;;;;;;;;;;;;;;12;99,48;;0
G10967;G10967;Lipton Herbata ziel. Mandarin/Orange 36g(20Beut.) x 12St.;;Eigenmarke;5;1,29;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;64;;;;;;;;;;;;;;;;;;16;19,04;;0
G10968;G10968;Lipton Herbata zielona 30g(20Beut.) x 12St.;;Eigenmarke;5;1,29;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;64;;;;;;;;;;;;;;;;;;16;19,04;;0
G10969;G10969;Lipton TEE 100 beutel * 12st;;Eigenmarke;5;2,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;64;;;;;;;;;;;;;;;;;;16;19,04;;0
G10970;G10970;Lipton Tee 20 beutel x 12 st;;Eigenmarke;5;1,29;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;64;;;;;;;;;;;;;;;;;;16;19,04;;0
G10971;G10971;Lipton Tee BlueBerry t36g(20Beut.) x 12St.;;Eigenmarke;5;1,29;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;64;;;;;;;;;;;;;;;;;;16;19,04;;0
G10972;G10972;Lipton Tee Tropical 32g(20Beut.) x 12St;;Eigenmarke;5;1,29;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;64;;;;;;;;;;;;;;;;;;16;19,04;;0
G10973;G10973;Lipton Tee Tropical 32g(20Beut.) x 12St;;Eigenmarke;5;1,29;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;64;;;;;;;;;;;;;;;;;;16;19,04;;0
G10974;G10974;Lisner Filety Sledziowe 280 gr  x 6st;;Eigenmarke;5;1,69;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;6;6;500;1;6;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;8;7,92;;0
G10975;G10975;Lisner Filety Wijskie Steklo600/450 gr  x6 st;;Eigenmarke;5;2,89;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;6;6;500;1;6;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;8;8,72;;0
G10976;G10976;Lisner Sledz Atlantycki 125 gr x 6 st;;Eigenmarke;5;0,89;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;6;6;500;1;6;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;8;9,52;;0
G10977;G10977;Lisner Sprot w Pomidorach 175 gr x 12;;Eigenmarke;5;0,89;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;42;;;;;;;;;;;;;;;;;;8;9,52;;0
G10978;G10978;Listek Deserowe 200 gr x1 2 st;;Eigenmarke;5;0,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;56;;;;;;;;;;;;;;;;;;8;9,52;;0
G10979;G10979;Liwernaja s Tschesnokom  Wurst;;Eigenmarke;5;4,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;1;500;1;1;kg;4;;0;0;;0;;;;;;;;;38;;;;;;;;;;;;;;;;;;8;5,52;;0
G10980;G10980;Lizak Balwanek 55gr/25st/GANDY;;Eigenmarke;5;14,9;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;25;25;500;1;25;St;4;;0;0;;0;;;;;;;;;56;;;;;;;;;;;;;;;;;;10;8,9;;0
G10981;G10981;Lizak Choinka 35 gr/35st/GANDY;;Eigenmarke;5;12,9;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;500;35;1;KTN;9;;0;0;;0;;;;;;;;;56;;;;;;;;;;;;;;;;;;10;7,9;;0
G10982;G10982;Lizak HEART LOLLIPOP BOUQUET 50gr /12/MAXC;;Eigenmarke;5;15;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;500;12;1;KTN;9;;0;0;;0;;;;;;;;;56;;;;;;;;;;;;;;;;;;6;11,94;;0
G10983;G10983;Lizak I Love You 100st 7 grSt.;;Eigenmarke;5;3,49;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;7;7;500;1;7;St;4;;0;0;;0;;;;;;;;;56;;;;;;;;;;;;;;;;;;6;14,94;;0
