ordernumber;mainnumber;name;additionalText;supplier;tax;price_EK;pseudoprice_EK;baseprice_EK;from_EK;to_EK;price_H;pseudoprice_H;baseprice_H;from_H;to_H;active;instock;stockmin;description;description_long;shippingtime;added;changed;releasedate;shippingfree;topseller;keywords;minpurchase;purchasesteps;maxpurchase;purchaseunit;referenceunit;packunit;unitID;pricegroupID;pricegroupActive;laststock;suppliernumber;weight;width;height;length;ean;similar;configuratorsetID;configuratortype;configuratorOptions;categories;propertyGroupName;propertyValueName;accessory;imageUrl;main;attr1;attr2;attr3;purchasePrice;metatitle;;;;;;;;;;;
G11281;G11281;Paprikarsz Grall 300grx12st;;Eigenmarke;5;0,89;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;18;18;500;1;18;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;;;;0
G11282;G11282;Paprikarsz Losos 18stx310gr;;Eigenmarke;5;0,89;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;18;18;500;1;18;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;;;;0
G11283;G11283;Paprikarz 250 x12st Dega;;Eigenmarke;5;0,69;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;;;;0
G11284;G11284;Paprika Vitarol 900grx8st;;Eigenmarke;5;1,39;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;8;8;500;1;8;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;;;;0
G11285;G11285;Paprika Weis 1.KL 5kg;;Eigenmarke;5;1,58;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;5;5;500;1;5;St;4;;0;0;;0;;;;;;;;;22;;;;;;;;;;;;;;;;;;;;;0
G11286;G11286;Parlament  - Vodka 40% 0,5L x 12 xt;;Eigenmarke;16;6,29;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;69;;;;;;;;;;;;;;;;;;;;;0
G11287;G11287;Parowka z Szynka Krakus 200gr;;Eigenmarke;5;1,49;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;16;16;500;1;16;St;4;;0;0;;0;;;;;;;;;38;;;;;;;;;;;;;;;;;;8;1,49;;0
G11288;G11288;Parowki  Drobjowe Wedzone (Sosiski);;Eigenmarke;5;2,69;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;1;500;1;1;St;4;;0;0;;0;;;;;;;;;38;;;;;;;;;;;;;;;;;;20;0,69;;0
G11289;G11289;Parowki Z Kurczata Berlinki 250gr;;Eigenmarke;5;1,39;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;16;16;500;1;16;St;4;;0;0;;0;;;;;;;;;38;;;;;;;;;;;;;;;;;;30;0,69;;0
G11290;G11290;Parowki z Szynki 250 gr JBB;;Eigenmarke;5;1,49;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;38;;;;;;;;;;;;;;;;;;20;0,49;;0
G11291;G11291;Parowkowa Dobra Marka;;Eigenmarke;5;3,39;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;38;;;;;;;;;;;;;;;;;;30;0,55;;0
G11292;G11292;Pastete Profi Wiepersowy 131 gr  x 12 st;;Eigenmarke;5;0,42;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;20;0,79;;0
G11293;G11293;Pastete profi Z grybamy Lesnimy   131 gr x 12 st;;Eigenmarke;5;0,42;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;12;1,25;;0
G11294;G11294;Pastetowa Firmowa DUDA 12 STK;;Eigenmarke;5;0,89;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;24;0,39;;0
G11295;G11295;Pastetowa Wedzona JBB wurst;;Eigenmarke;5;0,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;32;0,79;;0
G11296;G11296;Pastet Profi 250grx8st;;Eigenmarke;5;0,69;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;8;8;500;1;8;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;25;0,59;;0
G11297;G11297;Pastet Zapekany z Zurawina 200 gr;;Eigenmarke;5;1,19;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:34;;0;0;;;;500;;;;;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;22;0,69;;0
G11298;G11298;Pastet z Zurawina 200 gr;;Eigenmarke;5;1,22;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:34;;0;0;;;;500;;;;;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;22;0,63;;0
G11299;G11299;Pasztetowa JBB 200gr Drobjowa z Dodatkiem wiperzowem;;Eigenmarke;5;0,89;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;25;0,79;;0
G11300;G11300;Patison Urbanek  670 ml x 8 st;;Eigenmarke;5;2,29;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;8;8;500;1;8;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;32;0,85;;0
G11301;G11301;Perniki Precle 150g/12st/BAHLSEN;;Eigenmarke;5;0,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;25;0,69;;0
G11302;G11302;Perniki Sliwkowe 150g/12st/BAHLSEN;;Eigenmarke;5;0,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;32;0,79;;0
G11303;G11303;Perniki Truskawkowe 150g/12st/BAHLSEN;;Eigenmarke;5;0,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;30;0,53;;0
G11304;G11304;Petrosilien Frisch;;Eigenmarke;5;14,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;5;5;500;1;5;St;4;;0;0;;0;;;;;;;;;22;;;;;;;;;;;;;;;;;;25;0,63;;0
G11305;G11305;PG Tea Bags Strong 6Kg (8 x 750g(300Beutel));;Eigenmarke;5;5,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;8;8;500;1;8;St;4;;0;0;;0;;;;;;;;;64;;;;;;;;;;;;;;;;;;25;0,63;;0
G11306;G11306;Piatnica Landmilch 1l x 6stk;;Eigenmarke;5;0,69;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;6;6;500;1;6;St;4;;0;0;;0;;;;;;;;;30;;;;;;;;;;;;;;;;;;25;0,63;;0
G11307;G11307;Piatnica Schmand 18% 400g x 12stk;;Eigenmarke;5;0,79;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;30;;;;;;;;;;;;;;;;;;32;0,79;;0
G11308;G11308;Piernik EUROPEJSKI W glazure 700 gr;;Eigenmarke;5;1,79;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;6;6;500;1;6;St;4;;0;0;;0;;;;;;;;;56;;;;;;;;;;;;;;;;;;27;0,63;;0
G11309;G11309;Pjatniza Tworog Fett st 250 gr x 6 st Frischkäse;;Eigenmarke;5;3,59;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;6;6;500;1;6;St;4;;0;0;;0;;;;;;;;;32;;;;;;;;;;;;;;;;;;25;0,59;;0
G11310;G11310;Placek Letni NOVA Tort;;Eigenmarke;5;4,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:34;;0;0;;;;500;;;;;;0;0;;0;;;;;;;;;56;;;;;;;;;;;;;;;;;;25;0,63;;0
G11311;G11311;Plastikeimer 0,6 litr x 112 st;;Eigenmarke;16;0,18;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;112;112;500;1;112;St;4;;0;0;;0;;;;;;;;;23;;;;;;;;;;;;;;;;;;22;0,59;;0
G11312;G11312;Plastikeimer 10 Litr;;Eigenmarke;16;1,39;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;10;10;500;1;10;St;4;;0;0;;0;;;;;;;;;23;;;;;;;;;;;;;;;;;;25;0,59;;0
G11313;G11313;Plastikeimer 112 St.x 0,5l.;;Eigenmarke;16;0,18;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:34;;0;0;;;;500;;;;;;0;0;;0;;;;;;;;;23;;;;;;;;;;;;;;;;;;26;0,99;;0
G11314;G11314;Plastikeimer 120St.x3,0l.;;Eigenmarke;16;0,55;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;60;60;500;1;60;St;4;;0;0;;0;;;;;;;;;23;;;;;;;;;;;;;;;;;;26;0,99;;0
G11315;G11315;Plastikeimer 2,5l.;;Eigenmarke;16;0,55;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;50;50;500;1;50;St;4;;0;0;;0;;;;;;;;;23;;;;;;;;;;;;;;;;;;34;0,99;;0
G11316;G11316;Podgrzybek Brunatny Suszony 40g x 10st.;;Eigenmarke;5;2,59;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;10;10;500;1;10;St;4;;0;0;;0;;;;;;;;;22;;;;;;;;;;;;;;;;;;32;0,79;;0
G11317;G11317;Podpravka Vegeta 75g x 35st.;;Eigenmarke;5;0,59;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;35;35;500;1;35;St;4;;0;0;;0;;;;;;;;;45;;;;;;;;;;;;;;;;;;22;0,69;;0
G11318;G11318;Podwawelska Grill PRE 340 gr KAB;;Eigenmarke;5;1,69;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:34;;0;0;;;;500;;;;;;0;0;;0;;;;;;;;;38;;;;;;;;;;;;;;;;;;12;4,44;;0
G11319;G11319;Podwawelska Grilowa KABANOS;;Eigenmarke;5;5,89;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:34;;0;0;;;;500;;;;;;0;0;;0;;;;;;;;;38;;;;;;;;;;;;;;;;;;;;;0
G11320;G11320;Podwawelska Wurst Dobra;;Eigenmarke;5;3,49;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;1;500;1;1;kg;4;;0;0;;0;;;;;;;;;38;;;;;;;;;;;;;;;;;;12;3,39;;0
G11321;G11321;Podwawelska Wurst Korona;;Eigenmarke;5;4,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;1;500;1;1;kg;4;;0;0;;0;;;;;;;;;38;;;;;;;;;;;;;;;;;;28;0,142;;0
G11322;G11322;Podwawelska Wurst NIK POL;;Eigenmarke;5;5,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;1;500;1;1;kg;4;;0;0;;0;;;;;;;;;38;;;;;;;;;;;;;;;;;;28;0,15;;0
G11323;G11323;Po Goralsku Kielbasa Wurst;;Eigenmarke;5;3,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;1;500;1;1;kg;4;;0;0;;0;;;;;;;;;38;;;;;;;;;;;;;;;;;;32;0,25;;0
G11324;G11324;Poledwiczka Borowjaka;;Eigenmarke;5;7,49;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;1;500;1;1;kg;4;;0;0;;0;;;;;;;;;38;;;;;;;;;;;;;;;;;;28;0,35;;0
G11325;G11325;POLEDWICZKA WEDZONA ;;Eigenmarke;5;9,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;1;500;1;1;kg;4;;0;0;;0;;;;;;;;;38;;;;;;;;;;;;;;;;;;32;0,25;;0
G11326;G11326;POledwizka NIk POL Tradizijna;;Eigenmarke;5;9,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;1;500;1;1;kg;4;;0;0;;0;;;;;;;;;38;;;;;;;;;;;;;;;;;;28;0,35;;0
G11327;G11327;Polmak Gnizda NItka 500gr x 8 st;;Eigenmarke;5;1,49;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;8;8;500;1;8;St;4;;0;0;;0;;;;;;;;;66;;;;;;;;;;;;;;;;;;;;;0
G11328;G11328;Polmak Kliski Do Zupy 250gr x 20 st;;Eigenmarke;5;0,69;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;20;20;500;1;20;St;4;;0;0;;0;;;;;;;;;66;;;;;;;;;;;;;;;;;;28;0,33;;0
G11329;G11329;Polmak Krajanka 250 gr x 30st;;Eigenmarke;5;0,69;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;30;30;500;1;30;St;4;;0;0;;0;;;;;;;;;66;;;;;;;;;;;;;;;;;;28;0,33;;0
G11330;G11330;Pol-mak Makaron Staropolski 250g x 20st.;;Eigenmarke;5;0,49;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;20;20;500;1;20;St;4;;0;0;;0;;;;;;;;;66;;;;;;;;;;;;;;;;;;28;0,35;;0
G11331;G11331;Pol-mak Makaron Tradycyjny 250g x 30st.;;Eigenmarke;5;0,55;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;30;30;500;1;30;St;4;;0;0;;0;;;;;;;;;66;;;;;;;;;;;;;;;;;;30;0,33;;0
G11332;G11332;Polmak Niteczka do Sup 250g/20/ Pol Mak;;Eigenmarke;5;0,79;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;20;20;500;1;20;St;4;;0;0;;0;;;;;;;;;66;;;;;;;;;;;;;;;;;;30;0,33;;0
G11333;G11333;Pomorzanka Makarena 200g x 12stk;;Eigenmarke;5;1,25;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;56;;;;;;;;;;;;;;;;;;30;0,33;;0
G11334;G11334;Pomozelki 90 gr/24st/MILLINO;;Eigenmarke;5;0,39;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;24;24;500;1;24;St;4;;0;0;;0;;;;;;;;;56;;;;;;;;;;;;;;;;;;30;0,35;;0
G11335;G11335;Pomysl  Karkowke z Zimnjakamy 30 gr x32 st;;Eigenmarke;5;0,79;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;32;32;500;1;32;St;4;;0;0;;0;;;;;;;;;45;;;;;;;;;;;;;;;;;;30;0,35;;0
G11336;G11336;Pomysl Kurzaka W Souse Serowwom 28 gr x 25 st;;Eigenmarke;5;0,59;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;25;25;500;1;25;St;4;;0;0;;0;;;;;;;;;45;;;;;;;;;;;;;;;;;;30;0,35;;0
G11337;G11337;Pomysl Makarone z Serem 22st x 47 gr;;Eigenmarke;5;0,69;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;22;22;500;1;22;St;4;;0;0;;0;;;;;;;;;45;;;;;;;;;;;;;;;;;;30;0,25;;0
G11338;G11338;Pomysl na Gulasch 47gr x 25st;;Eigenmarke;5;0,63;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;22;22;500;1;22;St;4;;0;0;;0;;;;;;;;;45;;;;;;;;;;;;;;;;;;30;0,35;;0
G11339;G11339;Pomysl Na Gulasch Paprikowy 41 gr x 32 st;;Eigenmarke;5;0,79;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;25;25;500;1;25;St;4;;0;0;;0;;;;;;;;;45;;;;;;;;;;;;;;;;;;28;0,35;;0
G11340;G11340;Pomysl Na Karkowka z Ziemnikami i MARCHEWKA 30grx 32 st;;Eigenmarke;5;0,85;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;32;32;500;1;32;St;4;;0;0;;0;;;;;;;;;45;;;;;;;;;;;;;;;;;;28;0,35;;0
G11341;G11341;Pomysl na Kotlety Melone 25 st x 69 gr;;Eigenmarke;5;0,69;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;25;25;500;1;25;St;4;;0;0;;0;;;;;;;;;45;;;;;;;;;;;;;;;;;;28;0,35;;0
G11342;G11342;Pomysl na Kotlety Schabowe 44 gr x 32st;;Eigenmarke;5;0,79;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;32;32;500;1;32;St;4;;0;0;;0;;;;;;;;;45;;;;;;;;;;;;;;;;;;28;0,35;;0
G11343;G11343;Pomysl na Kurczaka po chinsku   30 st ;;Eigenmarke;5;0,53;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;30;30;500;1;30;St;4;;0;0;;0;;;;;;;;;45;;;;;;;;;;;;;;;;;;30;0,23;;0
G11344;G11344;Pomysl na Kurzaka w Souse Smitankowo - ziolowim 30 gr x 25 st;;Eigenmarke;5;0,63;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;25;25;500;1;25;St;4;;0;0;;0;;;;;;;;;45;;;;;;;;;;;;;;;;;;30;0,25;;0
G11345;G11345;Pomysl na Kurzaka w souse Wlasnom z Mozarella 35 gr x 25 st;;Eigenmarke;5;0,63;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;25;25;500;1;25;St;4;;0;0;;0;;;;;;;;;45;;;;;;;;;;;;;;;;;;;;;0
G11346;G11346;Pomysl na Rybu 32 gr x 22 st  w Souse Smetana koperkowem;;Eigenmarke;5;0,63;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;25;25;500;1;25;St;4;;0;0;;0;;;;;;;;;45;;;;;;;;;;;;;;;;;;30;0,35;;0
G11347;G11347;Pomysl na Soczystego Kurczaka w Razmorynie i Ziolach  32st x 35 gr;;Eigenmarke;5;0,79;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;32;32;500;1;32;St;4;;0;0;;0;;;;;;;;;45;;;;;;;;;;;;;;;;;;30;0,33;;0
G11348;G11348;Pomysl na Spageti po Bolognese  ITALIA  27 st x 44 gr;;Eigenmarke;5;0,63;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;27;27;500;1;27;St;4;;0;0;;0;;;;;;;;;45;;;;;;;;;;;;;;;;;;28;0,35;;0
G11349;G11349;Pomysl na Spageti po Bolonsku ITALIA  25 st x 46 gr;;Eigenmarke;5;0,59;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;25;25;500;1;25;St;4;;0;0;;0;;;;;;;;;45;;;;;;;;;;;;;;;;;;30;0,25;;0
G11350;G11350;Pomysl na  Spaghetti Napoli Gewï¿½rzmischung 47g x 25st;;Eigenmarke;5;0,63;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;25;25;500;1;25;St;4;;0;0;;0;;;;;;;;;45;;;;;;;;;;;;;;;;;;;;;0
G11351;G11351;Pomysl na Zapiekanke makaronowa z szynka  22st x 35 gr;;Eigenmarke;5;0,59;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;22;22;500;1;22;St;4;;0;0;;0;;;;;;;;;45;;;;;;;;;;;;;;;;;;6;1,09;;0
G11352;G11352;Pomysl Neopoletanski 47 gr x 25 stwinjary;;Eigenmarke;5;0,59;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;25;25;500;1;25;St;4;;0;0;;0;;;;;;;;;45;;;;;;;;;;;;;;;;;;6;1,39;;0
G11353;G11353;Pomysl Papirus  NaSoczysta piers kurzaka z Paprika 23,2 x 26 st;;Eigenmarke;5;0,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;26;26;500;1;26;St;4;;0;0;;0;;;;;;;;;45;;;;;;;;;;;;;;;;;;8;1,19;;0
G11354;G11354;Pomysl Papirus pier kurczaka z Czosnikem i Ziolami 23,7gr x 26 st;;Eigenmarke;5;0,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;26;26;500;1;26;St;4;;0;0;;0;;;;;;;;;45;;;;;;;;;;;;;;;;;;6;1,49;;0
G11355;G11355;Pomysl Papirus Soczysta Kurzaka w pomidorach z Bazylia 34st x 24,4 gr;;Eigenmarke;5;0,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;34;34;500;1;34;St;4;;0;0;;0;;;;;;;;;45;;;;;;;;;;;;;;;;;;12;0,59;;0
G11356;G11356;Pomysl Steki Z Karkowki 32st x 44gr;;Eigenmarke;5;0,79;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;32;32;500;1;32;St;4;;0;0;;0;;;;;;;;;45;;;;;;;;;;;;;;;;;;12;0,59;;0
G11357;G11357;Pomysl Zapikanke ziemneczana z miesa melony 42 gr x 22st;;Eigenmarke;5;0,69;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;22;22;500;1;22;St;4;;0;0;;0;;;;;;;;;45;;;;;;;;;;;;;;;;;;12;0,59;;0
G11358;G11358;Pop Korn 20 gr x 12 st;;Eigenmarke;5;4,44;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;12;0,59;;0
G11359;G11359;Porawkowa Nik POl Wurst Sardelen;;Eigenmarke;5;4,29;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:34;;0;0;;;;500;;;;;;0;0;;0;;;;;;;;;38;;;;;;;;;;;;;;;;;;12;0,42;;0
G11360;G11360;Primavera 209 gr x 12st;;Eigenmarke;5;3,39;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;12;12;500;1;12;St;4;;0;0;;0;;;;;;;;;56;;;;;;;;;;;;;;;;;;12;0,42;;0
G11361;G11361;Prince polo 17,5g x 28 stk x 16 Display;;Eigenmarke;5;3,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;28;28;500;1;28;St;4;;0;0;;0;;;;;;;;;56;;;;;;;;;;;;;;;;;;12;0,42;;0
G11362;G11362;Prince Polo classic 17,5g x 28St.;;Eigenmarke;5;0,15;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;28;28;500;1;28;St;4;;0;0;;0;;;;;;;;;56;;;;;;;;;;;;;;;;;;12;0,42;;0
G11363;G11363;Prince Polo classic 36g x 32St.;;Eigenmarke;5;0,25;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;32;32;500;1;32;St;4;;0;0;;0;;;;;;;;;56;;;;;;;;;;;;;;;;;;12;0,42;;0
G11364;G11364;Prince Polo kokosowe w mlecznej czekoladzie XXL 28Stx52gr.;;Eigenmarke;5;0,35;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;28;28;500;1;28;St;4;;0;0;;0;;;;;;;;;56;;;;;;;;;;;;;;;;;;13;0,42;;0
